Year|month|decimal_date|average_ppm|interpolated_ppm|trend_ppm|num_days
2012|5|2012.375|396.74|396.74|393.54|30
2012|4|2012.2920000000001|396.18|396.18|393.43|29
2012|3|2012.2079999999999|394.4|394.4|392.8|30
2012|2|2012.125|393.86|393.86|393.04|26
2012|1|2012.0420000000001|393.12|393.12|392.89|30
2011|12|2011.9579999999999|391.86|391.86|392.66|28
2011|11|2011.875|390.28|390.28|392.44|28
2011|10|2011.7920000000001|389.0|389.0|392.33|31
2011|9|2011.7079999999999|389.08|389.08|392.4|26
2011|8|2011.625|390.13|390.13|391.83|27
2011|7|2011.5420000000001|392.51|392.51|392.04|26
2011|6|2011.4579999999999|393.74|393.74|391.44|28
2011|5|2011.375|394.19|394.19|391.02|30
2011|4|2011.2920000000001|393.25|393.25|390.63|28
2011|3|2011.2079999999999|392.6|392.6|391.07|29
2011|2|2011.125|391.86|391.86|390.94|28
2011|1|2011.0420000000001|391.33|391.33|391.03|29
2010|12|2010.9579999999999|389.79|389.79|390.6|29
2010|11|2010.875|388.67|388.67|390.79|28
2010|10|2010.7920000000001|387.24|387.24|390.53|31
2010|9|2010.7079999999999|386.85|386.85|390.14|29
2010|8|2010.625|388.35|388.35|390.01|26
2010|7|2010.5420000000001|390.2|390.2|389.72|29
2010|6|2010.4579999999999|392.15|392.15|389.89|28
2010|5|2010.375|393.0|393.0|389.88|28
2010|4|2010.2920000000001|392.46|392.46|389.89|26
2010|3|2010.2079999999999|391.17|391.17|389.65|25
2010|2|2010.125|390.2|390.2|389.26|20
2010|1|2010.0420000000001|388.7|388.7|388.41|30
2009|12|2009.9579999999999|387.42|387.42|388.23|20
2009|11|2009.875|386.02|386.02|388.16|30
2009|10|2009.7920000000001|384.43|384.43|387.68|30
2009|9|2009.7079999999999|384.74|384.74|388.01|28
2009|8|2009.625|386.11|386.11|387.8|27
2009|7|2009.5420000000001|388.03|388.03|387.55|22
2009|6|2009.4579999999999|389.48|389.48|387.24|29
2009|5|2009.375|390.14|390.14|387.02|30
2009|4|2009.2920000000001|389.55|389.55|386.92|29
2009|3|2009.2079999999999|388.82|388.82|387.32|28
2009|2|2009.125|387.48|387.48|386.59|26
2009|1|2009.0420000000001|386.94|386.94|386.63|30
2008|12|2008.9579999999999|385.56|385.56|386.41|29
2008|11|2008.875|384.19|384.19|386.36|28
2008|10|2008.7920000000001|382.99|382.99|386.27|23
2008|9|2008.7079999999999|383.18|383.18|386.46|27
2008|8|2008.625|384.09|384.09|385.75|25
2008|7|2008.5420000000001|386.36|386.36|385.8|10
2008|6|2008.4579999999999|387.76|387.76|385.46|23
2008|5|2008.375|388.54|388.54|385.45|25
2008|4|2008.2920000000001|387.21|387.21|384.58|24
2008|3|2008.2079999999999|386.03|386.03|384.48|30
2008|2|2008.125|385.82|385.82|384.96|26
2008|1|2008.0420000000001|385.52|385.52|385.28|31
2007|12|2007.9579999999999|383.94|383.94|384.83|21
2007|11|2007.875|382.45|382.45|384.65|30
2007|10|2007.7920000000001|381.12|381.12|384.47|29
2007|9|2007.7079999999999|380.96|380.96|384.32|21
2007|8|2007.625|381.99|381.99|383.7|22
2007|7|2007.5420000000001|384.5|384.5|384.02|27
2007|6|2007.4579999999999|386.1|386.1|383.84|26
2007|5|2007.375|386.56|386.56|383.34|29
2007|4|2007.2920000000001|386.5|386.5|383.71|26
2007|3|2007.2079999999999|384.58|384.58|382.94|26
2007|2|2007.125|383.9|383.9|383.01|21
2007|1|2007.0420000000001|382.89|382.89|382.67|24
2006|12|2006.9579999999999|381.82|381.82|382.64|27
2006|11|2006.875|380.15|380.15|382.33|29
2006|10|2006.7920000000001|379.13|379.13|382.46|23
2006|9|2006.7079999999999|378.85|378.85|382.16|27
2006|8|2006.625|380.41|380.41|382.08|27
2006|7|2006.5420000000001|382.46|382.46|381.91|24
2006|6|2006.4579999999999|384.05|384.05|381.75|28
2006|5|2006.375|385.03|385.03|381.87|24
2006|4|2006.2920000000001|384.61|384.61|381.91|25
2006|3|2006.2079999999999|382.67|382.67|381.14|30
2006|2|2006.125|382.2|382.2|381.39|25
2006|1|2006.0420000000001|381.38|381.38|381.14|24
2005|12|2005.9579999999999|380.11|380.11|380.9|26
2005|11|2005.875|378.35|378.35|380.5|23
2005|10|2005.7920000000001|377.0|377.0|380.31|14
2005|9|2005.7079999999999|376.7|376.7|380.01|26
2005|8|2005.625|378.74|378.74|380.42|26
2005|7|2005.5420000000001|380.74|380.74|380.18|29
2005|6|2005.4579999999999|382.21|382.21|379.88|28
2005|5|2005.375|382.45|382.45|379.31|31
2005|4|2005.2920000000001|382.29|382.29|379.65|26
2005|3|2005.2079999999999|380.77|380.77|379.27|26
2005|2|2005.125|379.73|379.73|378.93|24
2005|1|2005.0420000000001|378.46|378.46|378.21|31
2004|12|2004.9579999999999|377.51|377.51|378.32|30
2004|11|2004.875|376.16|376.16|378.31|29
2004|10|2004.7920000000001|374.46|374.46|377.82|29
2004|9|2004.7079999999999|374.25|374.25|377.62|15
2004|8|2004.625|376.01|376.01|377.74|16
2004|7|2004.5420000000001|377.47|377.47|376.94|25
2004|6|2004.4579999999999|379.69|379.69|377.39|21
2004|5|2004.375|380.62|380.62|377.48|28
2004|4|2004.2920000000001|380.35|380.35|377.62|26
2004|3|2004.2079999999999|378.88|378.88|377.24|28
2004|2|2004.125|377.87|377.87|377.02|29
2004|1|2004.0420000000001|377.0|377.0|376.78|30
2003|12|2003.9579999999999|375.99|375.99|376.75|27
2003|11|2003.875|374.66|374.66|376.81|26
2003|10|2003.7920000000001|373.15|373.15|376.47|30
2003|9|2003.7079999999999|373.17|373.17|376.48|25
2003|8|2003.625|374.38|374.38|376.08|23
2003|7|2003.5420000000001|376.7|376.7|376.19|29
2003|6|2003.4579999999999|378.28|378.28|376.04|25
2003|5|2003.375|378.6|378.6|375.55|30
2003|4|2003.2920000000001|377.73|377.73|375.06|27
2003|3|2003.2079999999999|376.45|376.45|374.8|28
2003|2|2003.125|375.64|375.64|374.77|27
2003|1|2003.0420000000001|374.88|374.88|374.63|30
2002|12|2002.9579999999999|373.79|373.79|374.53|31
2002|11|2002.875|372.25|372.25|374.34|29
2002|10|2002.7920000000001|370.55|370.55|373.88|31
2002|9|2002.7079999999999|370.75|370.75|374.11|23
2002|8|2002.625|371.85|371.85|373.52|28
2002|7|2002.5420000000001|374.01|374.01|373.42|26
2002|6|2002.4579999999999|375.52|375.52|373.3|28
2002|5|2002.375|375.76|375.76|372.81|29
2002|4|2002.2920000000001|375.02|375.02|372.37|29
2002|3|2002.2079999999999|374.12|374.12|372.44|24
2002|2|2002.125|373.2|373.2|372.33|28
2002|1|2002.0420000000001|372.53|372.53|372.3|28
2001|12|2001.9579999999999|371.24|371.24|371.92|29
2001|11|2001.875|369.76|369.76|371.74|24
2001|10|2001.7920000000001|368.45|368.45|371.69|31
2001|9|2001.7079999999999|368.18|368.18|371.44|28
2001|8|2001.625|369.61|369.61|371.22|27
2001|7|2001.5420000000001|371.51|371.51|370.9|25
2001|6|2001.4579999999999|373.22|373.22|370.99|26
2001|5|2001.375|373.85|373.85|370.94|24
2001|4|2001.2920000000001|373.37|373.37|370.81|29
2001|3|2001.2079999999999|372.43|372.43|370.87|26
2001|2|2001.125|371.51|371.51|370.78|26
2001|1|2001.0420000000001|370.59|370.59|370.43|30
2000|12|2000.9579999999999|369.67|369.67|370.3|30
2000|11|2000.875|368.37|368.37|370.32|25
2000|10|2000.7920000000001|367.03|367.03|370.26|30
2000|9|2000.7079999999999|367.0|367.0|370.3|26
2000|8|2000.625|368.13|368.13|369.72|27
2000|7|2000.5420000000001|369.86|369.86|369.2|25
2000|6|2000.4579999999999|371.7|371.7|369.5|28
2000|5|2000.375|371.58|371.58|368.71|28
2000|4|2000.2920000000001|371.82|371.82|369.28|27
2000|3|2000.2079999999999|370.6|370.6|369.09|30
2000|2|2000.125|369.55|369.55|368.83|19
2000|1|2000.0420000000001|369.29|369.29|369.08|26
1999|12|1999.9579999999999|368.1|368.1|368.77|26
1999|11|1999.875|366.72|366.72|368.71|28
1999|10|1999.7920000000001|365.37|365.37|368.64|31
1999|9|1999.7079999999999|364.81|364.81|368.13|28
1999|8|1999.625|366.9|366.9|368.48|25
1999|7|1999.5420000000001|369.45|369.45|368.77|27
1999|6|1999.4579999999999|370.3|370.3|368.13|26
1999|5|1999.375|370.96|370.96|368.15|26
1999|4|1999.2920000000001|370.99|370.99|368.45|29
1999|3|1999.2079999999999|369.68|369.68|368.08|25
1999|2|1999.125|369.07|369.07|368.26|22
1999|1|1999.0420000000001|368.18|368.18|367.96|27
1998|12|1998.9579999999999|367.13|367.13|367.88|26
1998|11|1998.875|365.52|365.52|367.56|23
1998|10|1998.7920000000001|364.4|364.4|367.67|30
1998|9|1998.7079999999999|364.02|364.02|367.37|28
1998|8|1998.625|365.95|365.95|367.55|30
1998|7|1998.5420000000001|367.82|367.82|367.14|23
1998|6|1998.4579999999999|368.99|368.99|366.8|28
1998|5|1998.375|369.42|369.42|366.55|30
1998|4|1998.2920000000001|368.66|368.66|366.03|29
1998|3|1998.2079999999999|367.24|367.24|365.6|31
1998|2|1998.125|365.98|365.98|365.17|28
1998|1|1998.0420000000001|365.27|365.27|365.07|30
1997|12|1997.9579999999999|364.38|364.38|365.15|30
1997|11|1997.875|362.49|362.49|364.56|30
1997|10|1997.7920000000001|360.82|360.82|364.12|27
1997|9|1997.7079999999999|360.29|360.29|363.68|26
1997|8|1997.625|362.25|362.25|363.84|25
1997|7|1997.5420000000001|364.31|364.31|363.6|24
1997|6|1997.4579999999999|365.59|365.59|363.41|27
1997|5|1997.375|366.64|366.64|363.74|29
1997|4|1997.2920000000001|366.35|366.35|363.68|21
1997|3|1997.2079999999999|364.51|364.51|362.88|31
1997|2|1997.125|364.03|364.03|363.22|27
1997|1|1997.0420000000001|363.09|363.09|362.88|31
1996|12|1996.9579999999999|362.24|362.24|363.08|29
1996|11|1996.875|360.89|360.89|363.03|29
1996|10|1996.7920000000001|359.58|359.58|362.97|29
1996|9|1996.7079999999999|359.54|359.54|362.99|25
1996|8|1996.625|361.38|361.38|362.98|28
1996|7|1996.5420000000001|363.55|363.55|362.85|31
1996|6|1996.4579999999999|364.92|364.92|362.69|30
1996|5|1996.375|365.13|365.13|362.1|30
1996|4|1996.2920000000001|364.57|364.57|361.86|29
1996|3|1996.2079999999999|364.17|364.17|362.53|27
1996|2|1996.125|363.24|363.24|362.35|27
1996|1|1996.0420000000001|362.07|362.07|361.85|29
1995|12|1995.9579999999999|360.68|360.68|361.53|30
1995|11|1995.875|359.45|359.45|361.59|27
1995|10|1995.7920000000001|357.99|357.99|361.37|29
1995|9|1995.7079999999999|358.17|358.17|361.55|24
1995|8|1995.625|359.12|359.12|360.73|25
1995|7|1995.5420000000001|361.64|361.64|360.97|28
1995|6|1995.4579999999999|363.19|363.19|360.84|27
1995|5|1995.375|363.69|363.69|360.58|29
1995|4|1995.2920000000001|363.3|363.3|360.62|29
1995|3|1995.2079999999999|361.83|361.83|360.22|29
1995|2|1995.125|360.86|360.86|360.05|28
1995|1|1995.0420000000001|359.92|359.92|359.79|30
1994|12|1994.9579999999999|358.98|358.98|359.83|28
1994|11|1994.875|357.53|357.53|359.68|28
1994|10|1994.7920000000001|356.08|356.08|359.49|28
1994|9|1994.7079999999999|355.73|355.73|359.17|24
1994|8|1994.625|357.46|357.46|359.16|24
1994|7|1994.5420000000001|359.38|359.38|358.79|31
1994|6|1994.4579999999999|360.81|360.81|358.44|27
1994|5|1994.375|361.65|361.65|358.46|30
1994|4|1994.2920000000001|361.23|361.23|358.46|28
1994|3|1994.2079999999999|359.99|359.99|358.29|29
1994|2|1994.125|358.92|358.92|358.09|25
1994|1|1994.0420000000001|358.24|358.24|358.13|27
1993|12|1993.9579999999999|356.91|356.91|357.8|30
1993|11|1993.875|355.41|355.41|357.54|29
1993|10|1993.7920000000001|354.12|354.12|357.49|28
1993|9|1993.7079999999999|354.03|354.03|357.39|23
1993|8|1993.625|355.64|355.64|357.32|27
1993|7|1993.5420000000001|357.33|357.33|356.76|25
1993|6|1993.4579999999999|359.52|359.52|357.12|28
1993|5|1993.375|360.19|360.19|357.03|30
1993|4|1993.2920000000001|359.27|359.27|356.59|25
1993|3|1993.2079999999999|358.47|358.47|356.76|30
1993|2|1993.125|357.31|357.31|356.44|28
1993|1|1993.0420000000001|357.0|357.0|356.96|28
1992|12|1992.9579999999999|355.57|355.57|356.39|31
1992|11|1992.875|354.32|354.32|356.38|29
1992|10|1992.7920000000001|353.32|353.32|356.63|29
1992|9|1992.7079999999999|352.96|352.96|356.29|26
1992|8|1992.625|354.94|354.94|356.62|23
1992|7|1992.5420000000001|357.01|357.01|356.44|26
1992|6|1992.4579999999999|359.33|359.33|356.97|30
1992|5|1992.375|359.59|359.59|356.41|26
1992|4|1992.2920000000001|359.09|359.09|356.39|27
1992|3|1992.2079999999999|357.86|357.86|356.27|24
1992|2|1992.125|357.11|357.11|356.38|27
1992|1|1992.0420000000001|356.25|356.25|356.2|31
1991|12|1991.9579999999999|355.12|355.12|355.93|30
1991|11|1991.875|353.81|353.81|355.8|28
1991|10|1991.7920000000001|352.35|352.35|355.62|27
1991|9|1991.7079999999999|352.25|352.25|355.56|27
1991|8|1991.625|353.85|353.85|355.46|25
1991|7|1991.5420000000001|356.19|356.19|355.59|24
1991|6|1991.4579999999999|358.13|358.13|355.8|29
1991|5|1991.375|359.13|359.13|356.0|29
1991|4|1991.2920000000001|358.66|358.66|356.02|30
1991|3|1991.2079999999999|357.23|357.23|355.68|30
1991|2|1991.125|355.73|355.73|355.02|27
1991|1|1991.0420000000001|354.84|354.84|354.82|28
1990|12|1990.9579999999999|354.33|354.33|355.19|28
1990|11|1990.875|353.07|353.07|355.13|24
1990|10|1990.7920000000001|351.62|351.62|354.89|28
1990|9|1990.7079999999999|351.31|351.31|354.61|27
1990|8|1990.625|353.01|353.01|354.61|22
1990|7|1990.5420000000001|354.84|354.84|354.19|30
1990|6|1990.4579999999999|356.34|356.34|353.97|29
1990|5|1990.375|357.32|357.32|354.16|29
1990|4|1990.2920000000001|356.32|356.32|353.68|28
1990|3|1990.2079999999999|355.73|355.73|354.24|28
1990|2|1990.125|355.04|355.04|354.33|28
1990|1|1990.0420000000001|353.8|353.8|353.74|25
1989|12|1989.9579999999999|352.85|352.85|353.81|27
1989|11|1989.875|351.49|351.49|353.65|27
1989|10|1989.7920000000001|350.25|350.25|353.52|25
1989|9|1989.7079999999999|350.05|350.05|353.32|23
1989|8|1989.625|351.81|351.81|353.37|24
1989|7|1989.5420000000001|353.99|353.99|353.3|25
1989|6|1989.4579999999999|355.37|355.37|352.97|26
1989|5|1989.375|355.86|355.86|352.67|28
1989|4|1989.2920000000001|355.64|355.64|352.97|28
1989|3|1989.2079999999999|353.96|353.96|352.47|29
1989|2|1989.125|353.27|353.27|352.54|25
1989|1|1989.0420000000001|352.91|352.91|352.85|27
1988|12|1988.9579999999999|351.41|351.41|352.35|28
1988|11|1988.875|350.2|350.2|352.34|25
1988|10|1988.7920000000001|349.13|349.13|352.41|26
1988|9|1988.7079999999999|348.92|348.92|352.13|27
1988|8|1988.625|350.4|350.4|351.9|26
1988|7|1988.5420000000001|352.69|352.69|352.02|27
1988|6|1988.4579999999999|353.72|353.72|351.37|26
1988|5|1988.375|354.21|354.21|351.06|28
1988|4|1988.2920000000001|353.69|353.69|351.01|27
1988|3|1988.2079999999999|352.4|352.4|350.87|25
1988|2|1988.125|351.64|351.64|350.94|24
1988|1|1988.0420000000001|350.39|350.39|350.39|24
1987|12|1987.9579999999999|349.16|349.16|350.05|27
1987|11|1987.875|347.96|347.96|350.07|22
1987|10|1987.7920000000001|346.59|346.59|349.86|22
1987|9|1987.7079999999999|346.52|346.52|349.7|23
1987|8|1987.625|348.08|348.08|349.49|14
1987|7|1987.5420000000001|350.11|350.11|349.39|16
1987|6|1987.4579999999999|351.53|351.53|349.2|21
1987|5|1987.375|352.09|352.09|349.01|27
1987|4|1987.2920000000001|351.31|351.31|348.77|26
1987|3|1987.2079999999999|349.73|349.73|348.3|22
1987|2|1987.125|348.73|348.73|348.02|25
1987|1|1987.0420000000001|348.52|348.52|348.47|26
1986|12|1986.9579999999999|347.22|347.22|348.13|24
1986|11|1986.875|345.93|345.93|348.04|23
1986|10|1986.7920000000001|344.51|344.51|347.77|26
1986|9|1986.7079999999999|345.22|345.22|348.35|17
1986|8|1986.625|346.08|346.08|347.4|18
1986|7|1986.5420000000001|348.16|348.16|347.33|20
1986|6|1986.4579999999999|349.93|349.93|347.52|17
1986|5|1986.375|350.38|350.38|347.26|18
1986|4|1986.2920000000001|349.77|349.77|347.22|22
1986|3|1986.2079999999999|348.01|348.01|346.68|17
1986|2|1986.125|347.28|347.28|346.74|25
1986|1|1986.0420000000001|346.56|346.56|346.59|23
1985|12|1985.9579999999999|345.88|345.88|346.81|25
1985|11|1985.875|344.49|344.49|346.61|22
1985|10|1985.7920000000001|343.13|343.13|346.42|20
1985|9|1985.7079999999999|343.27|343.27|346.4|25
1985|8|1985.625|345.02|345.02|346.34|18
1985|7|1985.5420000000001|346.71|346.71|345.89|18
1985|6|1985.4579999999999|348.38|348.38|345.94|23
1985|5|1985.375|349.06|349.06|345.91|24
1985|4|1985.2920000000001|348.34|348.34|345.79|19
1985|3|1985.2079999999999|347.74|347.74|346.37|16
1985|2|1985.125|346.16|346.16|345.61|17
1985|1|1985.0420000000001|345.21|345.21|345.31|23
1984|12|1984.9579999999999|344.7|344.7|345.57|12
1984|11|1984.875|343.1|343.1|345.2|18
1984|10|1984.7920000000001|341.67|341.67|345.01|12
1984|9|1984.7079999999999|341.4|341.4|344.58|14
1984|8|1984.625|343.55|343.55|344.94|12
1984|7|1984.5420000000001|345.53|345.53|344.76|21
1984|6|1984.4579999999999|346.98|346.98|344.52|21
1984|5|1984.375|347.63|347.63|344.45|21
1984|4|1984.2920000000001|-99.99|346.84|344.27|2
1984|3|1984.2079999999999|345.52|345.52|344.09|19
1984|2|1984.125|344.79|344.79|344.22|23
1984|1|1984.0420000000001|344.1|344.1|344.2|23
1983|12|1983.9579999999999|343.05|343.05|343.96|19
1983|11|1983.875|341.59|341.59|343.71|26
1983|10|1983.7920000000001|340.38|340.38|343.72|20
1983|9|1983.7079999999999|340.35|340.35|343.49|15
1983|8|1983.625|342.27|342.27|343.66|16
1983|7|1983.5420000000001|344.19|344.19|343.44|20
1983|6|1983.4579999999999|345.63|345.63|343.15|20
1983|5|1983.375|346.03|346.03|342.87|28
1983|4|1983.2920000000001|345.25|345.25|342.66|24
1983|3|1983.2079999999999|343.33|343.33|341.82|26
1983|2|1983.125|342.9|342.9|342.32|24
1983|1|1983.0420000000001|341.68|341.68|341.84|28
1982|12|1982.9579999999999|340.9|340.9|341.79|26
1982|11|1982.875|339.6|339.6|341.73|25
1982|10|1982.7920000000001|338.29|338.29|341.64|26
1982|9|1982.7079999999999|338.28|338.28|341.47|21
1982|8|1982.625|340.09|340.09|341.51|24
1982|7|1982.5420000000001|342.32|342.32|341.55|28
1982|6|1982.4579999999999|343.79|343.79|341.35|26
1982|5|1982.375|344.63|344.63|341.56|26
1982|4|1982.2920000000001|343.97|343.97|341.37|8
1982|3|1982.2079999999999|342.81|342.81|341.21|18
1982|2|1982.125|341.73|341.73|341.1|23
1982|1|1982.0420000000001|340.96|340.96|341.1|27
1981|12|1981.9579999999999|339.88|339.88|340.79|19
1981|11|1981.875|338.58|338.58|340.74|25
1981|10|1981.7920000000001|337.08|337.08|340.43|28
1981|9|1981.7079999999999|336.95|336.95|340.17|27
1981|8|1981.625|338.44|338.44|339.86|26
1981|7|1981.5420000000001|340.78|340.78|339.92|24
1981|6|1981.4579999999999|342.54|342.54|340.07|25
1981|5|1981.375|343.03|343.03|339.98|30
1981|4|1981.2920000000001|342.53|342.53|339.94|24
1981|3|1981.2079999999999|341.62|341.62|340.06|25
1981|2|1981.125|340.55|340.55|339.93|25
1981|1|1981.0420000000001|339.29|339.29|339.38|28
1980|12|1980.9579999999999|338.32|338.32|339.26|19
1980|11|1980.875|337.27|337.27|339.42|24
1980|10|1980.7920000000001|336.15|336.15|339.42|25
1980|9|1980.7079999999999|336.19|336.19|339.33|17
1980|8|1980.625|337.7|337.7|339.12|17
1980|7|1980.5420000000001|339.4|339.4|338.54|21
1980|6|1980.4579999999999|341.33|341.33|338.84|22
1980|5|1980.375|341.48|341.48|338.43|25
1980|4|1980.2920000000001|340.93|340.93|338.3|24
1980|3|1980.2079999999999|340.01|340.01|338.43|25
1980|2|1980.125|338.34|338.34|337.82|26
1980|1|1980.0420000000001|337.9|337.9|338.09|29
1979|12|1979.9579999999999|336.81|336.81|337.79|22
1979|11|1979.875|335.31|335.31|337.57|27
1979|10|1979.7920000000001|334.19|334.19|337.53|24
1979|9|1979.7079999999999|333.98|333.98|337.2|19
1979|8|1979.625|335.75|335.75|337.24|23
1979|7|1979.5420000000001|337.54|337.54|336.72|26
1979|6|1979.4579999999999|339.26|339.26|336.84|19
1979|5|1979.375|339.21|339.21|336.21|12
1979|4|1979.2920000000001|338.95|338.95|336.24|21
1979|3|1979.2079999999999|338.27|338.27|336.54|21
1979|2|1979.125|336.69|336.69|336.01|26
1979|1|1979.0420000000001|336.14|336.14|336.22|27
1978|12|1978.9579999999999|334.9|334.9|335.88|27
1978|11|1978.875|333.75|333.75|335.99|24
1978|10|1978.7920000000001|332.41|332.41|335.68|23
1978|9|1978.7079999999999|332.37|332.37|335.51|17
1978|8|1978.625|334.41|334.41|335.87|19
1978|7|1978.5420000000001|336.41|336.41|335.57|22
1978|6|1978.4579999999999|338.01|338.01|335.59|17
1978|5|1978.375|338.03|338.03|335.06|26
1978|4|1978.2920000000001|337.69|337.69|335.06|18
1978|3|1978.2079999999999|336.66|336.66|335.0|28
1978|2|1978.125|335.25|335.25|334.58|25
1978|1|1978.0420000000001|334.95|334.95|335.01|22
1977|12|1977.9579999999999|333.6|333.6|334.61|26
1977|11|1977.875|332.41|332.41|334.64|21
1977|10|1977.7920000000001|331.27|331.27|334.52|23
1977|9|1977.7079999999999|331.29|331.29|334.36|19
1977|8|1977.625|332.56|332.56|333.91|18
1977|7|1977.5420000000001|334.88|334.88|334.02|21
1977|6|1977.4579999999999|336.17|336.17|333.8|22
1977|5|1977.375|336.93|336.93|333.98|20
1977|4|1977.2920000000001|336.13|336.13|333.51|21
1977|3|1977.2079999999999|334.95|334.95|333.35|23
1977|2|1977.125|333.13|333.13|332.51|19
1977|1|1977.0420000000001|332.66|332.66|332.76|24
1976|12|1976.9579999999999|331.62|331.62|332.66|20
1976|11|1976.875|330.15|330.15|332.29|25
1976|10|1976.7920000000001|328.75|328.75|331.92|20
